path,score,class,static_incoming,config_ref_count,evidence
datamock/labTrends.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
datamock/medications.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
datamock/messages.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
datamock/patients.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
datamock/users.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
docs/ai-integration-plan.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/frontend-data-inventory.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/operations/environment-rebuild-runbook.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/operations/reproducibility-report-template.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/operations/reproducibility-reports/2026-02-15-local-rebuild-drill.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/operations/reproducibility-reports/2026-02-15-run-22031771983.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/pharmacy-center-improvement-plan.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/pharmacy-center-task-tracker.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/qa/t04-uat-report-2026-02-15-draft.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/qa/t04-uat-report-template.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/qa/t04-uat-test-script.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/qa/t27-branch-protection-checklist.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/qa/t27-release-gate-policy.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/release/change-request-template.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/release/records/cr-2026-02-15-session13.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/release/records/rollback-drill-2026-02-15.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/release/release-approval-checklist.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/release/rollback-sop.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/security/evidence/t23-security-scan-summary-2026-02-15.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/security/evidence/t24-remediation-drill-2026-02-15-case2.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/security/evidence/t24-remediation-drill-2026-02-15.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/security/vulnerability-register-2026-02.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/security/vulnerability-register-template.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/security/vulnerability-sla.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/system-fix-plan.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
docs/system-task-tracker.md,10,ORPHAN_CANDIDATE,0,0,docs_asset
e2e/critical-journey.spec.js,70,SHARED/INFRA,0,0,runtime_root
e2e/helpers/auth.js,75,SHARED/INFRA,1,0,runtime_root | import_incoming=1
e2e/pharmacy-center.spec.js,70,SHARED/INFRA,0,0,runtime_root
e2e/t27-extended-journeys.spec.js,70,SHARED/INFRA,0,0,runtime_root
func/Makefile,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/README.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/clinical_rules/README.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/clinical_rules/dose_rules/dose_rules.v1.mock.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/clinical_rules/golden/dose_cases.v1.mock.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/clinical_rules/golden/interaction_cases.v1.mock.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/clinical_rules/interactions/interaction_rules.v1.mock.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/clinical_rules/release_manifest.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/env.example,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__init__.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/__init__.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/answering.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/api.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/auto_ingest.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/bm25.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/chunking.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/cli.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/config.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/embeddings.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/evaluate.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/extractors.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/fallback.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/ingest.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/models.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/quality.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/rerank.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/retrieval.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/schemas.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/service.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/storage.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/utils.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/__pycache__/validator.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/answering.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/api.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/auto_ingest.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/bm25.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/chunking.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/cli.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/clinical/__init__.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/clinical/__pycache__/__init__.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/clinical/__pycache__/dose_engine.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/clinical/__pycache__/exceptions.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/clinical/__pycache__/interaction_engine.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/clinical/__pycache__/repositories.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
func/evidence_rag/clinical/__pycache__/router.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
